question_id,option_id,option_label,weighted_share,weighted_percent,weighted_n,unweighted_n,is_missing,source_url
2025-064b_q12_1,1,Extremely important,0.49723415497862455,49.72,750.3263398627477,769,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#interpersonal-skills-such-as-getting-along-with-people-and-resolving-conflicts
2025-064b_q12_1,2,Very important,0.2859202984251645,28.59,431.45373032357503,428,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#interpersonal-skills-such-as-getting-along-with-people-and-resolving-conflicts
2025-064b_q12_1,3,Somewhat important,0.15526978579089123,15.53,234.30210675845586,232,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#interpersonal-skills-such-as-getting-along-with-people-and-resolving-conflicts
2025-064b_q12_1,4,Not too important,0.03962471492829616,3.96,59.793694826799154,53,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#interpersonal-skills-such-as-getting-along-with-people-and-resolving-conflicts
2025-064b_q12_1,5,Not at all important,0.021951045877023557,2.2,33.12412822842869,27,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#interpersonal-skills-such-as-getting-along-with-people-and-resolving-conflicts
2025-064b_q12_10,1,Extremely important,0.13952640761911494,13.95,210.54534909724532,239,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#ability-to-integrate-ai-into-work
2025-064b_q12_10,2,Very important,0.2274463721152133,22.74,343.2165755218583,373,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#ability-to-integrate-ai-into-work
2025-064b_q12_10,3,Somewhat important,0.3899682627791327,39.0,588.4621085337137,576,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#ability-to-integrate-ai-into-work
2025-064b_q12_10,4,Not too important,0.16146380349989212,16.15,243.6488794813382,220,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#ability-to-integrate-ai-into-work
2025-064b_q12_10,5,Not at all important,0.081595153986647,8.16,123.12708736585085,101,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#ability-to-integrate-ai-into-work
2025-064b_q12_2,1,Extremely important,0.4896911137024464,48.97,738.9438905769947,756,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#written-and-spoken-communication-skills
2025-064b_q12_2,2,Very important,0.3097849014198955,30.98,467.46541624262426,465,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#written-and-spoken-communication-skills
2025-064b_q12_2,3,Somewhat important,0.139525604236594,13.95,210.54413679302124,213,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#written-and-spoken-communication-skills
2025-064b_q12_2,4,Not too important,0.035602530669713,3.56,53.72421878059714,52,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#written-and-spoken-communication-skills
2025-064b_q12_2,5,Not at all important,0.025395849971351154,2.54,38.322337606769054,23,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#written-and-spoken-communication-skills
2025-064b_q12_3,1,Extremely important,0.33958241199215905,33.96,512.4298596961702,529,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#management-or-leadership-skills
2025-064b_q12_3,2,Very important,0.33781021233636604,33.78,509.75561041557853,518,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#management-or-leadership-skills
2025-064b_q12_3,3,Somewhat important,0.2576290615310616,25.76,388.76225385037355,365,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#management-or-leadership-skills
2025-064b_q12_3,4,Not too important,0.04250432525921396,4.25,64.13902681615413,68,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#management-or-leadership-skills
2025-064b_q12_3,5,Not at all important,0.022473988881199405,2.25,33.91324922173005,29,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#management-or-leadership-skills
2025-064b_q12_4,1,Extremely important,0.3085954923219168,30.86,465.6705979137744,483,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#skills-to-operate-build-or-repair-machinery-or-equipment
2025-064b_q12_4,2,Very important,0.28933765513572945,28.93,436.6105215998176,434,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#skills-to-operate-build-or-repair-machinery-or-equipment
2025-064b_q12_4,3,Somewhat important,0.2841718993541739,28.42,428.81539612545026,443,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#skills-to-operate-build-or-repair-machinery-or-equipment
2025-064b_q12_4,4,Not too important,0.09011779150710442,9.01,135.98774738422114,119,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#skills-to-operate-build-or-repair-machinery-or-equipment
2025-064b_q12_4,5,Not at all important,0.027777161681075444,2.78,41.91573697674302,30,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#skills-to-operate-build-or-repair-machinery-or-equipment
2025-064b_q12_5,1,Extremely important,0.31382565635920595,31.38,473.56291544604375,473,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#the-ability-to-do-physical-or-manual-work-or-use-hand-tools
2025-064b_q12_5,2,Very important,0.2891084263019749,28.91,436.264615289682,460,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#the-ability-to-do-physical-or-manual-work-or-use-hand-tools
2025-064b_q12_5,3,Somewhat important,0.26088491595228264,26.09,393.67533817199615,397,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#the-ability-to-do-physical-or-manual-work-or-use-hand-tools
2025-064b_q12_5,4,Not too important,0.10375169922888823,10.38,156.561314136393,142,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#the-ability-to-do-physical-or-manual-work-or-use-hand-tools
2025-064b_q12_5,5,Not at all important,0.032429302157648346,3.24,48.93581695589156,37,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#the-ability-to-do-physical-or-manual-work-or-use-hand-tools
2025-064b_q12_6,1,Extremely important,0.41323160777168066,41.32,623.5664961274688,632,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#basic-computer-skills-such-as-word-processing-or-creating-spreadsheets
2025-064b_q12_6,2,Very important,0.30821377055187943,30.82,465.09457976278804,475,false,https://reports.verasight.io/reports/ai-adoption-survey-july-2025#basic-computer-skills-such-as-word-processing-or-creating-spreadsheets
